name,stock,year,KOSPI,fnd_year,fiscal,ind,big4,forn,own,c_asset,inv,asset,sales,cogs,dep,tax,rec,ni,ocf,cash,tan,land,cip,intan,liab,c_liab,pti,total,equit,lag_asset,lag_liab,lag_equit,lag_sales,lag_total,lag1_ni,lag_c_asset,lag_c_liab,SIZE,LEV,CUR,GRW,ROA,ROE,CFO,PPE,AGE,INVREC,MB,TQ,LOSS,GETR,CETR,GETR3,CETR3,GETR5,CETR5,TSTA,TSDA,A_GETR,A_CETR,A_GETR3,A_CETR3,A_GETR5,A_CETR5
경방,50,2023,1,1919,12,47,1,0.0101,0.6108,76098399000,8656353000,1.12E+12,2.71E+11,1.45E+11,10582811000,2099209000,31148271000,-3938596000,43981982000,22240300000,2.31E+11,1.28E+11,395137000,0.001099269,3.72E+11,1.91E+11,6322076000,2.42E+11,7.52E+11,1.14E+12,3.81E+11,7.59E+11,2.70E+11,2.96E+11,-2569789000,51942911000,89633813000,27.76224379,0.334176451,0.579501298,0.00455983,-0.003454237,-0.005187917,0.038573186,0.090244285,4.65396035,0.034909549,0.322236346,0.546615823,1,1,1,0.239811475,1,0.381383524,0.962591122,-0.004193358,-0.013778219,0.756410022,0.743133524,-0.041010587,0.713088458,0.111708206,0.64347218
경방,50,2024,1,1919,12,47,1,0.0075,0.6097,63227980000,7899992000,1.13E+12,2.82E+11,1.65E+11,11224112000,2100504000,28053212000,27942760000,55183577000,13302002000,2.33E+11,1.28E+11,0,0.001431142,3.54E+11,1.50E+11,35911028000,1.74E+11,7.77E+11,1.12E+12,3.72E+11,7.52E+11,2.71E+11,2.42E+11,-3938596000,76098399000,1.91E+11,27.74818173,0.331058586,0.398574244,0.039276861,0.024853473,0.037153438,0.049082609,0.094010659,4.663439094,0.031978301,0.235454092,0.466987908,1,0.221889165,0.278554209,1,1,0.34334082,0.920308635,0.000489943,-0.007288934,-0.021700814,0.021687733,0.719177938,0.713088458,0.073665501,0.601189693
삼양홀딩스,70,2011,1,1924,12,71,1,0.0899,0.3721,1.04E+11,3561382000,9.12E+11,4.91E+11,3.87E+11,2237000000,1057000000,18534000000,1.03E+11,1.20E+11,32533630000,42740306000,33805306000,14000000,0.004666816,1.76E+11,88625571000,67655314000,4.52E+11,7.37E+11,1.62E+12,5.96E+11,1.02E+12,3.87E+11,7.10E+11,48938646000,5.26E+11,4.57E+11,28.11037123,0.36888353,1.152902824,0.267967665,0.063956397,0.101338501,0.074344733,0.005523755,4.477336814,0.013681144,0.613844194,0.688152419,0,0,0.13359703,0.183019527,0.13078404,0.165113648,0.1714133,0.027446841,-0.009157782,-0.188652749,-0.062407819,-0.011597021,-0.074370376,-0.041068033,-0.051976644
삼양홀딩스,70,2012,1,1924,12,71,1,0.0965,0.4825,1.58E+11,2799868000,1.06E+12,3.50E+11,3.02E+11,1205000000,1347000000,21185250000,45873649000,3335763000,27948128000,18511064000,12593000000,220000000,0.007279872,1.89E+11,46504870000,61022965000,5.54E+11,8.73E+11,9.12E+11,1.76E+11,7.37E+11,4.91E+11,4.52E+11,1.03E+11,1.04E+11,88625571000,27.53929455,0.192430683,1.174837768,-0.28790608,0.050280505,0.062261534,0.003656213,0.006245449,4.48863637,0.02628925,0.634854104,0.699852979,0,0.24825598,0.096801606,0,0.290936416,0.121966321,0.168058847,-0.013881017,-0.000547894,0.059603231,-0.099203243,-0.194616548,0.085782001,-0.08421536,-0.055331097
삼양홀딩스,70,2014,1,1924,12,71,1,0.09,0.4412,2.55E+11,4093904000,1.31E+12,2.13E+11,1.27E+11,1080000000,871000000,19014117000,47400206000,44647934000,16164928000,30228371000,25166000000,69000000,0.004888147,2.79E+11,80858450000,49228485000,7.81E+11,1.03E+12,1.12E+12,1.66E+11,9.56E+11,2.73E+11,6.20E+11,-30735558000,1.41E+11,72609024000,27.74632729,0.148017217,1.948484131,-0.216957281,0.042238005,0.049576125,0.039785474,0.004449559,4.510859507,0.020591402,0.75704591,0.808711916,1,0.037138661,0.017946784,0.536959866,0.634590089,0.103693224,0.277767502,0.033997894,0.034632957,-0.140173193,-0.151559662,0.36101169,0.461985265,-0.064148979,0.071444384
삼양홀딩스,70,2015,1,1924,12,71,1,0.0588,0.4327,2.09E+11,2681038000,1.26E+12,1.70E+11,1.14E+11,889000000,986000000,17476278000,13055772000,18660538000,15108698000,29735064000,25188000000,160000000,0.004622853,2.29E+11,30325830000,13433236000,1.38E+12,1.03E+12,1.31E+12,2.79E+11,1.03E+12,2.13E+11,7.81E+11,47400206000,2.55E+11,80858450000,27.90083653,0.212657485,3.157724431,-0.205508984,0.009968349,0.012660752,0.014247702,0.003349613,4.521788577,0.015390522,1.336946542,1.27576193,0,0.028099261,0.083662864,0.202585401,0.752352136,0.094141034,0.195033899,0.007501751,0.004218619,-0.149212593,-0.085843582,0.026637225,0.579747312,-0.073701169,-0.011289218
삼양홀딩스,70,2016,1,1924,12,71,1,0.0664,0.433,2.02E+11,0,1.56E+12,1.02E+11,14074375000,807000000,773000000,13350784000,58107618000,15520938000,4956409000,30318324000,24779000000,342000000,0.004674855,2.13E+11,76978610000,47157666000,1.04E+12,1.35E+12,1.26E+12,2.29E+11,1.03E+12,1.70E+11,1.38E+12,13055772000,2.09E+11,30325830000,27.86494662,0.181585516,6.891394465,-0.397385137,0.045987576,0.056191058,0.012283593,0.00411327,4.532599493,0.010566088,0.771470379,0.802551876,0,0.030668227,0.011914648,0.035200821,0.032034805,0.148806347,0.163605395,-0.004197178,0.00328113,-0.146643627,-0.157591798,-0.140747356,-0.140570019,-0.019035856,-0.042717723
삼양홀딩스,70,2017,1,1924,12,71,1,0.0677,0.433,1.97E+11,0,1.58E+12,91590570000,12170599000,1120000000,891000000,10109000000,41232956000,16577520000,4818363000,30378661000,24779000000,724000000,0.00355964,2.07E+11,9283149000,41730316000,1.06E+12,1.37E+12,1.56E+12,2.13E+11,1.35E+12,1.02E+11,1.04E+12,58107618000,2.02E+11,76978610000,28.07860528,0.136006424,2.625279932,-0.103633591,0.026354886,0.030503567,0.01059586,0.003116378,4.543294782,0.006461374,0.774266347,0.803831922,0,0.011918434,0.040725309,0.030098677,0.027821504,0.053195822,0.155073799,0.001889211,0.004320944,-0.165393421,-0.128781137,-0.145849499,-0.14478332,-0.114646381,-0.051249319
삼양홀딩스,70,2018,1,1924,12,71,1,0.0893,0.4189,2.86E+11,0,1.59E+12,83056995000,3977337000,999000000,963000000,9551000000,48399104000,89857596000,271066000,29278116000,24873000000,13000000,0.003058671,2.03E+11,98932972000,48547391000,6.87E+11,1.39E+12,1.58E+12,2.07E+11,1.37E+12,91590570000,1.06E+12,41232956000,1.97E+11,9283149000,28.08721659,0.13097549,21.19470677,-0.093170891,0.030670026,0.035292475,0.056941856,0.00278324,4.553876892,0.006052373,0.495021174,0.559617679,0,0.003054479,0.013329573,0.021865746,0.025440413,0.021477738,0.024567168,0.024598916,0.014961895,-0.174257375,-0.156176873,-0.154082431,-0.14716441,-0.146364465,-0.181755949
삼양홀딩스,70,2019,1,1924,12,71,1,0.0836,0.4171,3.05E+11,0,1.61E+12,58119701000,4027620000,1190000000,1168000000,9961886000,20586944000,22720089000,2855698000,29457202000,24873000000,19000000,0.003375651,2.21E+11,12936307000,22331178000,5.87E+11,1.39E+12,1.59E+12,2.03E+11,1.39E+12,83056995000,6.87E+11,48399104000,2.86E+11,98932972000,28.09520153,0.127919235,2.886811891,-0.300243152,0.012941985,0.014840351,0.014282987,0.002869915,4.564348191,0.006262541,0.423393202,0.502781619,0,0.078107568,0.0668293,0.007151788,0.025993084,0.024327899,0.031897863,-0.018886121,-0.020803479,-0.099204286,-0.102677146,-0.168796388,-0.14661174,-0.143514304,-0.174425255
